,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date_action,points_de_vente,nom_action,montant
251,251,251,251,2022-04-15 09:46:01.0,251,action_vente_mtn_momo_depot,14.025330967321
252,252,252,252,2022-04-15 09:46:00.0,252,action_transfert,0.45734774893438
253,253,253,253,2022-04-15 09:46:00.0,253,COMMISSION_AJOUT,0.0034301081170078
254,254,254,254,2022-04-15 09:46:00.0,254,COMMISSION_AJOUT,0.0
255,255,255,255,2022-04-15 09:46:00.0,255,COMMISSION_AJOUT,0.0
256,256,256,256,2022-04-15 09:46:00.0,256,COMMISSION_AJOUT,0.0182939099573752
257,257,257,257,2022-04-15 09:45:58.0,257,action_transfert,0.304898499289587
258,258,258,258,2022-04-15 09:45:58.0,258,COMMISSION_AJOUT,0.0
259,259,259,259,2022-04-15 09:45:58.0,259,COMMISSION_AJOUT,0.0022867387446719
260,260,260,260,2022-04-15 09:45:58.0,260,COMMISSION_AJOUT,0.0121959399715835
261,261,261,261,2022-04-15 09:45:52.0,261,validation_action_vente_mtn_momo_depot,0.0
262,262,262,262,2022-04-15 09:45:51.0,262,action_eneo_paiement,0.304898499289587
263,263,263,263,2022-04-15 09:45:51.0,263,COMMISSION_AJOUT,0.0
264,264,264,264,2022-04-15 09:45:50.0,264,action_transfert,0.304898499289587
265,265,265,265,2022-04-15 09:45:50.0,265,COMMISSION_AJOUT,0.0152449249644793
266,266,266,266,2022-04-15 09:45:50.0,266,action_transfert,0.45734774893438
267,267,267,267,2022-04-15 09:45:50.0,267,COMMISSION_AJOUT,0.0
268,268,268,268,2022-04-15 09:45:50.0,268,COMMISSION_AJOUT,0.0068602162340157
269,269,269,269,2022-04-15 09:45:50.0,269,COMMISSION_AJOUT,0.0274408649360628
270,270,270,270,2022-04-15 09:45:48.0,270,action_transfert,0.152449249644793
271,271,271,271,2022-04-15 09:45:48.0,271,COMMISSION_AJOUT,0.0
272,272,272,272,2022-04-15 09:45:48.0,272,COMMISSION_AJOUT,0.000381123124112
273,273,273,273,2022-04-15 09:45:48.0,273,COMMISSION_AJOUT,0.000762246248224
274,274,274,274,2022-04-15 09:45:48.0,274,COMMISSION_AJOUT,0.0060979699857917
275,275,275,275,2022-04-15 09:45:47.0,275,action_vente_mtn_momo_depot,9.90920122691156
276,276,276,276,2022-04-15 09:45:46.0,276,action_login,0.0
